ProductName,Summary
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",great cooler excellent air flow and for this price its so amazing and unbelievablejust love it
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",best budget 2 fit cooler nice cooling
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",the quality is good but the power of air is decent
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",very bad product its a only a fan
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",ok ok product
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",the cooler is really fantastic and provides good air flow highly recommended
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",very good product
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",very nice
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",very bad cooler
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",very good
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",beautiful product good material and perfectly working
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",good
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",wonderful product must buy
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",nice air cooler smart cool breeze producer
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awsm
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",nice product
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",great cooler
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",nice product
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",good
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",very nice product
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",good product
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",nice product with the reasonable price
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",i like it
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",very goodd
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",good product
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",good product kawaleti
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",very good cooler amazing beautiful designs affordable price
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",using since 3months great experience
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",very good performance and nice look
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",product is good having strong thrust of air flow must buy
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",very good
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",bad quality
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",very nice product
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",very soundless product and low price other company
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",nice
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",the best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",cooler is big and wide maharaja brand trust y every thing is good about cooler create less noise only thing is that its motor is not powerful even in high speed rest all things are good but yes for one middle size room it is ok
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",it is one of the best air coolers at reasonable price have ever seen but the ventilation of the room is must for proper cooling but the size is quite big it will i hope create a space problem during off seasons the air supply is very good and its one of the essential part of the air cooler with the wool wood pads which helps to make super cooling afterall thank you maharaja company to make such a product in affordable and reasonable price
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",awesome air cooleri was looking for a cooler under this range and this has fulfilled my requirement this has the following features1 great air through the capacity of 5000 m3hr 2 comes with a large 65litre tank which can run overnight with ease3 great built that is a shockproof and reliable material4 you have to stop this beast at night because it has that massive cooling capabilityone small concern is mine and it is for sure that it is not a dealbreaker that it produces s
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",purchased after a lot of discussions and reviews i would say this the best which gives you the comfort needed best to for with no 2nd thoughts nice cooling low noise hope this should be energy efficient and used for a long run
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very nice cooler cooling is very good there is no noise i reviewed a lot then only i purchased it if you want effective cooling you have to set it up at a window where there is cross ventilation without cross ventilation it will make environment humid lookwise it is very nice and material is strong
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",feedback given after using one week the cooler is amazing its making the whole room cooling you should install the cooler near to your windows the delivery was on time as well the delivery boy also very supportive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",great deal 65 l quite big tank sufficient cooling for one medium size room 3 modes works well best in this range
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",i bought this cooler on heavy discount by flipkart cooler is build of good quality material it has a fast fan with powerfull motor pump air quality is excellent even for a big room a must buy value for money product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",the good things1 very well packed good amount of thermocols to protect from transport damages2 sturdy body3 relatively less noise as compared to bajaj cooler i had earlierwish this was betterfor many purposes it is necessary to open cooler body opening the body of cooler is not very intuitive common consumers may not even attempt for fear of damaging something 1 easy opening of side frames to change pads or clean the water inlets2 water balloon used to cut water supply au
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent producthappy with resultnice air flowosm cooling
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",cooler works fine and it is inverter friendly
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",small wire and moter capacity is very low fan speed was not good out flow vent hole is above the lower part of cooler its very difficult to change water
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",perfect product for large size room
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",average cooling not much as expected by size and reviews of cooler cooling is sufficient maharaja whiteline should work on its cooling efficiency and reduce size by width can increase in height to maintain tank capacity
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",product was amazing cooling capacity awsum pls go for ahead a big thumbs up
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",received dalay 10 days cooler is ok when i was reveived switch damaged
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",big oneworking good 2days of use hope will work for long run
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good product nice air flow and no noice
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",in this price good cooler
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",is good for many
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",it is an awesome product light weight easy to use and having lot of features
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",the product doesnt cool as rated by other customers the cooling is very slow very wrost product i recommend to not buy this item wastage of money
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",looks like monster cooler it is working as awesome
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very nice product thank you flipkart
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very good
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good cooler it occupies more space looks very large but good for hall it covers all the places
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very impressive coolerpros stylish energy efficient 165 watt very good air throw and cooling summersible pumpcons very bulky take more place than other no wheel lack of ice box
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",best cooler i bought 6884
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent cooler in this price rangepros1 air throw is very powerful even when u run it at slow speed setting 2 cooling and tank capacity3 ergonomics cons1 if you want to clean the cooler then opening the pads is very cumbersome process if you have placed it on some flat surface then also draining the old water is very difficult overall v good cooler apart from above cons and considering price
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",cooler not provide cool air because 1year experience
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",a good product in budget
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",packaging excellent value for money product
